Title,Author,Number of Pages,Date Read,Date Added,Exclusive Shelf
Klara and the Sun,Kazuo Ishiguro,303,,2021/07/03,to-read
The Philosophy of Information,Luciano Floridi,405,,2021/07/03,to-read
Metazoa: Animal Life and the Birth of the Mind,Peter Godfrey-Smith,352,,2021/07/03,to-read
"The Computational Beauty of Nature: Computer Explorations of Fractals, Chaos, Complex Systems, and Adaptation",Gary William Flake,514,,2021/07/03,read
"Neuromancer (Sprawl, #1)",William Gibson,268,,2021/07/03,read
Tools for Conviviality,Ivan Illich,110,,2021/07/03,to-read
Sources of the Self: The Making of the Modern Identity,Charles Margrave Taylor,624,,2021/07/03,to-read
Simulacra and Simulation,Jean Baudrillard,164,,2021/07/03,to-read
An Anthropologist on Mars,Oliver Sacks,318,,2021/07/03,read
Notes from the Underground,Fyodor Dostoevsky,96,,2021/07/03,read
Beyond Good and Evil,Friedrich Nietzsche,240,,2021/07/03,currently-reading
The Mathematics of the Gods and the Algorithms of Men: A Cultural History,Paolo Zellini,256,,2021/07/03,currently-reading
"Microcognition: Philosophy, Cognitive Science, and Parallel Distributed Processing (Explorations in Cognitive Science, 6)",Andy  Clark,248,,2021/07/03,to-read
"Surfing Uncertainty: Prediction, Action, and the Embodied Mind",Andy  Clark,416,,2021/07/03,read
Les Fleurs du Mal,Charles Baudelaire,365,,2021/07/03,read
The Aleph and Other Stories,Jorge Luis Borges,210,,2021/07/03,to-read
Labyrinths: Selected Stories & Other Writings,Jorge Luis Borges,260,,2021/07/03,read
"Sick Souls, Healthy Minds: How William James Can Save Your Life",John Kaag,210,,2021/07/03,to-read
American Philosophy: A Love Story,John Kaag,272,,2021/07/03,to-read
White Nights,Fyodor Dostoevsky,82,,2021/07/03,read
The Book of Laughter and Forgetting,Milan Kundera,313,,2021/07/03,read
Immortality,Milan Kundera,400,,2021/07/03,read
The Unbearable Lightness of Being,Milan Kundera,314,,2021/07/03,read
A Thousand Brains: A New Theory of Intelligence,Jeff Hawkins,288,,2021/07/03,to-read
Human Compatible: Artificial Intelligence and the Problem of Control,Stuart Russell,352,,2021/07/03,to-read
The Book of Why: The New Science of Cause and Effect,Judea Pearl,432,,2021/07/03,read
Life 3.0: Being Human in the Age of Artificial Intelligence,Max Tegmark,384,,2021/07/03,read
The Emperor's New Mind,Roger Penrose,602,,2021/07/03,read
I Am a Strange Loop,Douglas R. Hofstadter,436,,2021/07/03,read
"Superintelligence: Paths, Dangers, Strategies",Nick Bostrom,352,,2021/07/03,read
From Bacteria to Bach and Back: The Evolution of Minds,Daniel C. Dennett,477,,2021/07/03,read
Other Minds,Peter Godfrey-Smith,257,,2021/07/03,read
"Gödel, Escher, Bach: An Eternal Golden Braid",Douglas R. Hofstadter,777,,2021/07/03,read
The Man Who Mistook His Wife for a Hat and Other Clinical Tales,Oliver Sacks,243,,2021/07/03,read
The Plague,Albert Camus,308,,2021/07/03,read
Noise: A Flaw in Human Judgment,Daniel Kahneman,454,,2021/07/03,to-read
The Prophet,Kahlil Gibran,127,,2021/07/03,read
Homo Deus: A History of Tomorrow,Yuval Noah Harari,450,,2021/07/03,read
Being and Time,Martin Heidegger,589,,2021/07/03,to-read
Thus Spoke Zarathustra,Friedrich Nietzsche,327,,2021/07/03,to-read
A Clockwork Orange,Anthony Burgess,240,,2021/07/03,to-read
Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley,260,,2021/07/03,to-read
1984,George Orwell,298,,2021/07/03,read
The Metamorphosis,Franz Kafka,201,,2021/07/03,read
